rank,title,volume_usd,status,category,created_at,end_date,url,liquidity,market_id
1,No change in Fed interest rates after June 2025 meeting?,996713.3533849997,Active,Economy,2025-02-04T21:57:45.490441Z,2025-06-18T12:00:00Z,https://polymarket.com/event/no-change-in-fed-interest-rates-after-june-2025-meeting,489152.19472,521836
2,Fed decreases interest rates by 25 bps after June 2025 meeting?,884521.490485002,Active,Economy,2025-02-04T21:57:45.227112Z,2025-06-18T12:00:00Z,https://polymarket.com/event/fed-decreases-interest-rates-by-25-bps-after-june-2025-meeting,573651.4794,521835
3,Fed decreases interest rates by 50+ bps after June 2025 meeting?,677421.0749999997,Active,Economy,2025-02-04T21:57:44.947276Z,2025-06-18T12:00:00Z,https://polymarket.com/event/fed-decreases-interest-rates-by-50-bps-after-june-2025-meeting,1565168.93321,521834
4,Fed increases interest rates by 25+ bps after June 2025 meeting?,433056.075492,Active,Economy,2025-02-04T21:57:45.734461Z,2025-06-18T12:00:00Z,https://polymarket.com/event/fed-increases-interest-rates-by-25-bps-after-june-2025-meeting,1515653.83957,521837
5,Russia x Ukraine ceasefire before July?,388153.92177899997,Active,World Affairs,2025-01-22T18:49:18.013328Z,2025-06-30T12:00:00Z,https://polymarket.com/event/russia-x-ukraine-ceasefire-before-july,355828.0886,519628
6,Will the Indiana Pacers win the 2025 NBA Finals?,315428.3485440001,Active,Sports,2024-09-24T15:23:32.23253Z,2025-06-23T12:00:00Z,https://polymarket.com/event/will-the-indiana-pacers-win-the-2025-nba-finals,949113.07263,507868
7,Will Lorenzo Musetti win the 2025 French Open?,255831.73137,Active,Sports,2025-05-06T14:30:39.714386Z,2025-06-08T12:00:00Z,https://polymarket.com/event/will-lorenzo-musetti-win-the-2025-french-open,35223.4611,541855
8,Will Andrea Kimi Antonelli be the 2025 Drivers Champion?,209071.544331,Active,Sports,2025-02-26T18:26:28.601262Z,2025-12-07T12:00:00Z,https://polymarket.com/event/will-andrea-kimi-antonelli-be-the-2025-drivers-champion,391425.57523,525363
9,Will Andrew Cuomo win the Democratic Primary for Mayor of New York City?,186983.31708699994,Active,Politics,2024-12-30T09:19:31.607916Z,2025-06-24T12:00:00Z,https://polymarket.com/event/will-andrew-cuomo-win-the-democratic-primary-for-mayor-of-new-york-city,239751.0315,516785
10,Will Elon tweet 230 or more times May 30–June 6?,184195.18487199993,Active,World Affairs,2025-05-30T15:49:15.357892Z,2025-06-06T12:00:00Z,https://polymarket.com/event/will-elon-tweet-230-or-more-times-may-30june-6,15233.99227,548500
11,Will Elon tweet 185–199 times May 30–June 6?,177431.89244400006,Active,World Affairs,2025-05-30T15:49:13.874526Z,2025-06-06T12:00:00Z,https://polymarket.com/event/will-elon-tweet-185199-times-may-30june-6,18700.03215,548497
12,Will  Zohran Mamdani win the Democratic Primary for Mayor of New York City?,156580.72404400003,Active,Politics,2024-12-30T09:31:17.263449Z,2025-06-24T12:00:00Z,https://polymarket.com/event/will-zohran-mamdani-win-the-democratic-primary-for-mayor-of-new-york-city,125341.20934,516792
13,Ethereum all time high by June 30?,148937.94440400004,Active,Crypto,2024-12-26T15:24:43.456634Z,2025-06-30T12:00:00Z,https://polymarket.com/event/ethereum-all-time-high-by-june,339800.06878,516450
14,US recession in 2025?,147373.45607000001,Active,Economy,2024-12-29T18:04:31.897422Z,2026-02-28T12:00:00Z,https://polymarket.com/event/us-recession-in-2025,199873.6181,516710
