rank,title,volume_24h,status,category,created_at,end_date,url,liquidity,market_count,featured,event_id
1,Fed decision in June?,2991711.9943620013,Active,Economy,2025-02-04T21:57:44.372137Z,2025-06-18T12:00:00Z,https://polymarket.com/event/fed-decision-in-june,4130535.60287,4,True,17792
2,Elon Musk # of tweets May 30 - June 6?,912169.3315539999,Active,Entertainment,2025-05-30T15:49:09.080046Z,2025-06-06T12:00:00Z,https://polymarket.com/event/elon-musk-of-tweets-may-30-june-6,66707.79634,12,False,25570
3,Who will win Dem nomination for NYC Mayor?,670247.2400349999,Active,Politics,2024-12-29T18:54:00.212327Z,2025-06-24T12:00:00Z,https://polymarket.com/event/who-will-win-dem-nomination-for-nyc-mayor,1363216.45376,23,True,16111
4,2025 French Open Winner (M),639269.27975,Active,Sports,2025-05-06T14:30:36.707118Z,2025-06-08T12:00:00Z,https://polymarket.com/event/2025-french-open-winner,368962.40782,36,True,23990
5,F1 Drivers Champion,524401.054833,Active,Sports,2025-02-26T18:26:25.379138Z,2025-12-07T12:00:00Z,https://polymarket.com/event/f1-drivers-champion,8008805.83404,25,False,19696
6,What price will Bitcoin hit in June?,461906.3526460001,Active,Crypto,2025-05-30T20:19:46.630249Z,2025-06-30T00:00:00Z,https://polymarket.com/event/what-price-will-bitcoin-hit-in-june,1274316.17018,8,False,25594
7,NBA Champion,434083.5313570002,Active,Sports,2024-09-24T15:15:24.475189Z,2025-06-23T12:00:00Z,https://polymarket.com/event/nba-champion-2024-2025,1935648.04113,30,True,12815
8,Russia x Ukraine ceasefire before July?,388153.92177899997,Active,World Affairs,2025-01-22T18:49:17.400537Z,2025-06-30T12:00:00Z,https://polymarket.com/event/russia-x-ukraine-ceasefire-before-july,355450.2484,1,True,17088
9,Ballon d'Or Winner 2025,283994.55315700005,Active,Sports,2025-03-06T19:33:48.865905Z,2025-10-26T12:00:00Z,https://polymarket.com/event/ballon-dor-winner-2025,2344829.32028,26,False,20459
10,Fed decision in July?,274099.43144599994,Active,Economy,2025-03-19T19:32:15.257478Z,2025-07-30T12:00:00Z,https://polymarket.com/event/fed-decision-in-july,377329.75901,4,False,21255
11,World Series Champion 2025,250617.57632700002,Active,Sports,2025-02-26T18:37:18.292433Z,2025-10-31T12:00:00Z,https://polymarket.com/event/world-series-champion-2025,7631077.79058,31,False,19699
